mode,ade_m,fde_m,runtime_seconds,test_samples,sample_visits,status
centralized,1.5886782047188748,3.521341878716431,1926.5518875999987,115301,10726580,completed
local_only,3.04760140869745,7.612483139452217,2835.5063658,115301,10726580,completed
federated,1.273000534734215,2.9025821628624837,2706.4080767999694,115301,10726580,completed
